Coin name,Symbol,CMC rank,Price (MXN),24h volume,1h % change,24h % change,7d % change,Market cap
Dash,DASH,26,1859.8613967849356,13853638224.174162,1.66421189,2.55899841,24.14140494,18274670126.62503
Dogecoin,DOGE,45,0.06941073739083524,2496240061.644871,1.68998324,0.3036042,23.46984663,8829764473.153864
EOS,EOS,12,62.20291573961949,119702599867.91124,0.45853694,-0.56798593,23.44028701,58345515667.37642
Ethereum Classic,ETC,35,123.88875089389607,24111975209.130276,-0.05250454,-5.1978485,22.77692043,14409909325.45825
Synthetix,SNX,41,104.2388370354337,1526034075.2938905,2.17744778,-2.15505665,22.66029714,11112227010.262995
Bitcoin Diamond,BCD,97,11.139822137058134,38388293.27845288,0.00434156,-2.99363849,22.33957172,2077497713.0209532
Nexo,NEXO,84,5.019158451157351,189905104.9900654,0.17232438,1.8144171,21.68000121,2810728787.858859
Ontology,ONT,44,11.322434538749661,4406559527.393564,0.76861232,-0.53920442,21.07970795,8815310225.223143
Chainlink,LINK,5,296.9110039251333,42343730237.52705,0.20353221,-2.13735591,21.07613692,116837317455.0848
Nano,NANO,92,17.664173272285687,326807209.81335497,-0.35282517,4.57526301,19.42992866,2353721009.924827
NXM,NXM,80,575.0645296084863,372294227.7064412,1.35065029,-0.60478588,19.34602075,3004590623.789839
Bitcoin Cash,BCH,7,5846.185601911704,102447298847.54613,1.08554227,-1.22652844,19.18080009,108619972702.57877
OMG Network,OMG,40,79.56023919424524,6784120046.21349,0.35302078,-0.56868389,18.82789413,11157957430.274944
Algorand,ALGO,48,6.178425790168288,2251045293.756907,0.58490711,-2.62166938,18.53491023,7096156947.262721
Bitcoin SV,BSV,11,3682.583605628193,22248056430.161457,1.62660733,-4.45160758,18.10905216,68413893473.70991
Aave,AAVE,29,1486.2994340264331,4857159593.526216,4.18215184,-0.27943117,17.62425947,17618911215.2927
DigiByte,DGB,53,0.4432055198588039,303969777.71525794,1.49763683,-0.70568612,17.40263564,6103701987.969685
Huobi Token,HT,30,85.61155494995853,2825036993.4217443,0.20593196,-0.68563105,16.11253194,17534252582.525894
Wrapped Bitcoin,WBTC,14,372668.3620292054,1015636602.540499,0.17200508,-0.58005571,15.93402373,46307893900.6137
Bitcoin,BTC,1,372270.36148336116,801562920944.107,0.00923031,-0.87792768,15.53076094,6906085010712.541
Terra,LUNA,85,7.228061652629677,276321145.5172431,1.97103852,3.06255415,15.41383944,2779974225.114692
Neo,NEO,21,355.6264962152712,17051043669.731035,1.20482888,-1.30712496,14.76014988,25085477315.651154
TRON,TRX,17,0.5878126139623789,38394341556.38014,1.31014264,1.01636197,14.68954026,42122450514.00837
0x,ZRX,55,8.168849541964907,1219734916.5684018,0.43666679,-0.57997645,14.64124041,6077116864.302997
Lisk,LSK,78,24.774372086391153,108309604.36951025,0.39278483,-1.55132039,14.52758822,3133263352.652143
Basic Attention Token,BAT,51,4.420268735488559,4429234600.579756,0.78173638,1.10791228,14.11018995,6547883637.001345
FTX Token,FTT,46,82.46182545455882,118295157.36665396,0.89682247,1.92877303,13.42409325,7780022343.492083
Tezos,XTZ,18,46.62192277893265,7100684750.512869,0.04056865,-0.33033535,13.25768631,35007259962.37334
Zcash,ZEC,34,1402.0305890496645,15342352147.302317,0.40937194,1.67500785,13.19329863,14763741373.03141
Ampleforth,AMPL,74,23.985073358304156,99510069.3137172,1.51497828,0.91191198,13.03006208,3345221872.7510633
ICON,ICX,64,7.910312209476371,459316746.3825013,0.76470845,-0.12279006,13.00300923,4538215090.739292
Cosmos,ATOM,23,112.75961205332511,6391110743.397942,0.65919718,-2.46038943,12.6187308,23244623577.381344
Kyber Network,KNC,70,20.627062774585553,835553377.3986063,1.25428133,2.23129897,12.60365817,4139494001.8227453
SwissBorg,CHSB,98,2.2456182070789024,20970693.012605153,-5.47044727,-6.33459577,12.55402518,2077354882.2385693
Golem,GNT,99,2.271610111424419,328507546.8704728,-0.81823752,6.45669294,12.48332077,2063623380.2597985
ZB Token,ZB,87,5.63560489313821,258024266.0352611,-0.69298963,-1.10895819,12.03375018,2610912684.5721784
Siacoin,SC,86,0.05982418015724842,80952113.93046907,0.7605522,-0.60157025,11.93236883,2696497328.147715
Celo,CELO,63,38.395873556425386,131604601.90650971,-1.17009123,5.10881779,11.90423254,4778278806.31781
Zilliqa,ZIL,62,0.4598580305019443,692584813.0512208,0.3500496,-1.45624285,11.51047188,4905422801.882945
Ren,REN,54,6.917080151726162,1148871804.9839883,1.04820042,-0.40180277,11.34448116,6118382370.856076
Kusama,KSM,49,799.0878653345039,542207566.4027425,2.02650894,0.52804184,11.19559312,6768352575.751468
Maker,MKR,38,11555.451229666565,1218716139.9989629,4.40141123,8.02467812,10.92886527,11586705048.885828
Loopring,LRC,65,3.94195198864585,443398122.49255687,0.54281056,1.32908088,10.09210504,4517864178.677847
Monero,XMR,16,2534.6941187499083,21443543517.375465,0.42579821,-1.32788093,9.51957934,45026419470.804886
THETA,THETA,36,13.291670065860112,597974725.0631639,0.57938804,-2.53305941,9.12885625,13291670065.86011
Binance Coin,BNB,9,609.2907566310549,8646172534.955614,0.84653529,0.1222354,8.9577625,87985582753.2495
Crypto.com Coin,CRO,19,1.4323106591128458,1132913844.5826814,-0.04695869,-3.03048361,8.03768154,31245301106.974792
Elrond,EGLD,94,163.99601980101102,212107102.30524635,1.76743448,-0.52877991,7.71762874,2248484649.0638404
Solana,SOL,96,45.12535456543629,362697919.5248688,1.13430568,-6.980199,7.71043006,2076504712.2265937
BitTorrent,BTT,52,0.0063480063813342105,1536884057.5873084,-0.18700311,-0.84546343,7.67454803,6284431319.198438
Decred,DCR,56,441.107090019229,205754759.04081362,-1.0099244,-5.67370333,7.58092279,5416844799.729205
Hedera Hashgraph,HBAR,71,0.6729159820267895,361389715.5713799,1.15647248,2.44929459,7.24483246,4079287487.266027
Curve DAO Token,CRV,95,16.091988513357624,1821136643.3718276,2.57548446,-5.44839179,5.41662565,2099910795.7103317
Ravencoin,RVN,100,0.26969626271058333,179833645.01103538,-0.29742451,-0.88549528,5.21360173,2031278084.263868
Decentraland,MANA,88,1.6876952295413938,373096259.80820125,1.04683683,-3.83976083,4.76343352,2504234374.1755877
Energy Web Token,EWT,66,151.14790568050273,22885894.75410352,1.16431274,-2.03666173,3.84091661,4543829198.978257
Filecoin,FIL,24,592.4095989345938,2738450749.9550915,-1.33280843,-1.70379885,2.88449582,23161270437.62932
THORChain,RUNE,82,18.22188379342897,270965315.32856077,1.88404705,-3.32504097,1.38698417,2886931102.9424934
Enjin Coin,ENJ,91,2.951925532474763,185141252.17975348,0.63211351,-1.69425482,1.26167443,2429819677.9925103
UMA,UMA,43,169.82731384072713,222681129.91814458,1.46115008,-1.90296126,0.85654563,9425167090.695292
Revain,REV,90,0.21287925079777686,4750729.907766665,-2.0716464,0.35708059,0.78607663,2444792751.84347
UNUS SED LEO,LEO,20,25.761222814123037,346992221.2925574,-0.35478777,0.95047977,0.2390682,25748313682.466198
Compound,COMP,42,2466.382274724537,3215401196.5060563,1.9454915,-1.12998754,0.1901388,10272041739.672358
HedgeTrade,HEDG,59,14.856061107034416,1673222.6350696415,0.7800445,1.76312669,0.11939229,5039643423.610589
TrueUSD,TUSD,50,20.086432369524786,2096157447.6728642,-0.09825051,0.2970425,-0.72353974,6529731286.349591
USD Coin,USDC,13,20.107984228281982,12774936330.773167,-0.12741581,0.25440086,-0.72702212,57751369011.52795
Dai,DAI,25,20.14281909527771,2536690305.564398,-0.0875595,0.11507666,-0.73714048,20515755171.788307
Binance USD,BUSD,37,20.0991771119988,21614198717.514282,-0.16679386,0.21801052,-0.78628654,13168307419.04355
Paxos Standard,PAX,61,20.084223712070006,2420541100.418923,-0.17681717,0.2834607,-0.78679526,4919669852.771585
Tether,USDT,4,20.096423673329223,1625664249049.7712,-0.10466634,0.19763958,-0.84169234,371172772051.95056
NEM,XEM,22,2.6475852346647226,917774223.8330851,-0.07882273,0.99408505,-1.09722138,23828267109.33492
HUSD,HUSD,60,19.980109197036203,1148832948.2983894,-0.56969171,-0.0847176,-1.12290633,4944132140.610557
Ocean Protocol,OCEAN,69,10.581014495768995,436027811.92705876,0.5099595,-5.23517151,-2.53514465,4380823961.47762
Uniswap,UNI,31,75.51508788516229,19533434712.335228,1.38746516,-0.41372621,-3.05931582,16906067922.828949
Blockstack,STX,81,4.264063139066202,32036420.93041683,-0.34525229,-3.12831371,-12.5236803,2916406707.499794
Quant,QNT,77,271.94005583577376,117545163.74769305,2.94906754,-2.52343361,-16.37287782,3283061045.810667
ABBC Coin,ABBC,72,5.018225510538326,1166980850.3938916,-1.2128091,10.10713713,-18.36067989,4004661945.6007795
