,Nombre Comercial,Cámara,Actividad,Entidad Federativa
56,INMOBILIARIA JEVI,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
57,ESMA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
58,HOTEL JENA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
59,OPERADORA RENDON,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
60,HOTEL ATLAMPA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
61,HOTEL OXFORD,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
62,HOTELES FRIMONT,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
63,HOTELERA FLEMING,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
64,HOTEL FORNOS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
65,HOTEL LA CASONA,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
66,HOTELERA COSTA AZUL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
67,INMOBILIARIA FIPARO SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
68,PROMOCIONES TURISTICAS HERCA S.A. DE C.V.,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
69,HOTEL BRASILIA,CANACO SERVYTUR GUSTAVO A MADERO,Hoteles con otros servicios integrados,Ciudad de México
70,OPERADORA TORREMOLINOS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
71,HOTEL 100 METROS,CANACO SERVYTUR GUSTAVO A MADERO,Hoteles con otros servicios integrados,Ciudad de México
72,HOTELERA TICOMAN PLAZA,CANACO SERVYTUR GUSTAVO A MADERO,Hoteles con otros servicios integrados,Ciudad de México
73,HOTEL DAFONTE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
74,MAS SOL SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
75,"FONTE DO CARBALLO, S.A. DE C.V.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
76,BOUTIQUE VIADUCTO S DE RL DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
77,SERVICIOS HOTELEROS METROPOLITANOS SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
78,HOTEL NECAXA SA,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
79,HOTELERA MACEDA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
80,AUTO HOTEL LEGARÍA SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
81,HOTELERA PATRIOTISMO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
82,HOTEL MONTE CASINO,CANACO SERVYTUR GUSTAVO A MADERO,Hoteles con otros servicios integrados,Ciudad de México
83,MOTEL LA FLOR,CANACO SERVYTUR GUSTAVO A MADERO,Hoteles con otros servicios integrados,Ciudad de México
84,HOTEL CIRCUITO,CANACO SERVYTUR GUSTAVO A MADERO,Hoteles con otros servicios integrados,Ciudad de México
85,HOTEL TALISMAN,CANACO SERVYTUR GUSTAVO A MADERO,Hoteles con otros servicios integrados,Ciudad de México
86,HOTEL HABITA SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
87,HOTELERA PLAZA DALI,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
88,HOTEL HABITA SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
89,HOTEL MONTREAL SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
90,PARAISO PERISUR,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
91,HR MC HOTEL COMPANY,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
92,HOTELERA TACUBAYA SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
93,HOTEL PARAISO DEL SUR,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
94,SERVICIOS DE HOTELERIA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
95,HOTEL PICACHO SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
96,"HILTON GARDEN INN MEXICO, CITY SANTA FE",CANACO SERVYTUR ALVARO OBREGON,Hoteles con otros servicios integrados,Ciudad de México
97,"DOUBLETREE BY HILTON MEXICO, CITY SANTA FE",CANACO SERVYTUR ALVARO OBREGON,Hoteles con otros servicios integrados,Ciudad de México
98,HOTEL CAMPECHE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
99,HOTEL HABITA SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
100,HOTEL HABITA SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
101,CARBATEL SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
102,HOTEL MUSEO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
103,"SERVICIO MIRAVALLE, S.A. DE C.V.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
104,HOSPEDAJES LA COMERCIAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
105,ARTEAGA ENRIQUEZ MANUEL ANTONIO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
106,HOTEL EL GRECO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
107,HOTEL PIRAMIDES,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
108,JARDINES DE CHURUBUSCO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
109,INMOBILIARIA HOTELERA ORENSE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
110,PARADOR REAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
111,ARRENDADORA E INMUEBLES SUIZA SA DE CV,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
112,HOTEL BUGAMBILIAS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
113,PROMOCIONES TURISTICAS ABASTO SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
114,HOTELERA AGRICOLA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
115,HOTELERA ESTRELLA DE ORIENTE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
116,GARCAR,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
117,HOTEL APATLACO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
118,HOTEL EL PATIO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
119,OPERADORA VISTA ALEGRE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
120,HOTELERA COBAS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
121,HOTEL BELLINI,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
122,HOTEL TEXAS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
123,HOTEL PRINCIPAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
124,HOTEL RUVAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
125,HOTELERA NORTEÑA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
126,HOTEL ESTRELLA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
127,ADMINISTRADORA HOTELERA LAS VEGAS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
128,HOTEL NARVAEZ,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
129,HOTEL ATLANTA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
130,HOTEL JEREZ,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
131,HOTELERA Y OPERADORA SOL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
132,HOTELERA CELTA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
133,HOTEL PRO HOGAR,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
134,HOTELERA REVOLUCION,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
135,HOSPEDAJES LA COMERCIAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
136,HOTEL PARAISO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
137,HOTEL MONACO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
138,HOTELERA ARTES SA,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
139,HOTEL VIENA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
140,HOTEL MONARCA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
141,HOTEL MEXICALI,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
142,HOSPEDAJE SIN NOMBRE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
143,INMOBILIARIA LUIS MOYA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
144,HOTELERA AZTECA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
145,HOTEL SIN NOMBRE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
146,HOTEL EL CID,CANACO SERVYTUR GUSTAVO A MADERO,Hoteles con otros servicios integrados,Ciudad de México
147,HOTELERA GOAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
148,CASA AUGUSTO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
149,HOTEL MARTI,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
150,HOTEL ROSAS MORENO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
151,HOSPEDAJES LA COMERCIAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
152,HOSPEDAJES LA COMERCIAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
153,HOTEL SIN NOMBRE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
154,"HOTEL ""SAN MARCOS""",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
155,HOTEL NAVIO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
156,HOTEL BALBUENA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
157,HOTELERA RUBI,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
158,HOTEL PLATINO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
159,PROMOTORA INMOBILIARIA REMINGSTON,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
160,INMOBILIARIA ALCOSA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
161,ARRENDADORA DE INMUEBLES SAN LUCAS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
162,SUITES EMBASSY SA DE CV,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
163,HOTEL LA VADA,CANACO SERVYTUR GUSTAVO A MADERO,Hoteles con otros servicios integrados,Ciudad de México
164,HOTEL MEDITERRANEO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
165,FIESTA INN,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
166,SERVICIOS ADMINISTRATIVOS POSADAS SA DE CCV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
167,HOTEL CORONA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
168,DISEÑO 4.13,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
169,DOUBLÉ TREE BY HILTON CITY SANTA FE,CANACO SERVYTUR ALVARO OBREGON,Hoteles con otros servicios integrados,Ciudad de México
170,HOTEL LA PALOMA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
171,LORETO INMUEBLES,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
172,HILTON GARDEN INN MEXICO CITY SANTA FE,CANACO SERVYTUR ALVARO OBREGON,Hoteles con otros servicios integrados,Ciudad de México
173,"OPERADORA HOTELERA BRISAS, S.A. DE C.V.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
174,MUNDO JOVEN TRAVEL SHOP,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
175,HOTELERA MOSQUETA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
176,HOTEL UNICO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
177,OPERADORA DE SERVICIOS PARA HOTELES DE LUJO SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
178,TACUBA GABES,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
179,HOTEL ZAMORA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
180,BAROES,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
181,HOTEL H5533 SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
182,OPERADORA HOTELERA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
183,HOTELERA PARMA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
184,HOTEL DILIGENCIAS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
185,OPERADORA ROSAS MORENO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
186,INMOBILIARIA NAVA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
187,STARWOOD MEXICO SEVICIOS COMPARTIDOS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
188,INMOBILIARIA TABACALERA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
189,OPERADORA BOULEVARD PLAZA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
190,OPERADORA HOTELERA LA RAZA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
191,GRUPO PASADAS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
192,"CONSORCIO HOTELERO ABE, S.A. DE C.V.",CANACO SERVYTUR ALVARO OBREGON,Hoteles con otros servicios integrados,Ciudad de México
193,HOTELERA NACIONAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
194,OPERADORA E&E,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
195,GRUPO POSADAS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
196,PONTE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
197,HOTEL PIRAMIDES,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
198,S N T M M S R M,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
199,NOGUEIRA SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
200,HOTELES SHERATON,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
201,ADMINISTRADORA H HUATULCO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
202,HOSPEDAJES LA COMERCIAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
203,MILLORA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
204,SHERATON,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
205,ESMA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
206,INMOBILIARIA FRANCAR,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
207,OPERADORA HOTELERA LA RAZA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
208,FIESTA INN AEROPUERTO CIUDAD DE MEXICO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
209,REFORMA BR,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
210,FIDEICOMISO F 1596,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
211,IMPULSORA MEXICANA DE HOTELES,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
212,HOTEL URUPIN,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
213,TURISMO CON PASION S DE RL DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
214,ALBACETE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
215,HOSPEDAJES LA COMERCIAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
216,DESARROLLOS URBANOS DUVIPAMEX,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
217,HOTEL PANUCO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
218,TURISMO CON PASION,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
219,HOTEL LECTUS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
220,OPERADORA DE HOTELES CITY EXPRESS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
221,JW MARRIOTT HOTEL MEXICO CITY,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
222,HOTELERA DANIEL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
223,,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
224,HOTEL GUADALAJARA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
225,HOTEL BARCELO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
226,CONGREGACION DE HOTELES VILLA HERMOSA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
