Denominación social,Precepto legal infringido (vigente en la fecha en que se cometió la infracción),Incumplimiento,Sanción,Medio de defensa,Vigencia,Aclaraciones,Fecha de Cobro
"Casa de Bolsa Santander, S.A. de C.V., Grupo Financiero Santander","Numerales 3.1.1, y 3.1.2, de la Circular 4/2012",Falta a las reglas para la realización de Operaciones Derivadas.,"Monto $18,489.60 Fecha de imposición20-12-2017",Ninguno,,Esta conducta se considera graveNo es reincidente.,16-01-2018
"Casa de Bolsa Santander, S.A. de C.V., Grupo Financiero Santander","Numerales 3.1.1, y 3.1.2, de la Circular 4/2012",Falta a las reglas para la realización de Operaciones Derivadas.,"Monto $124,569.60 Fecha de imposición20-12-2017",Ninguno,,Esta conducta se considera graveNo es reincidente.,16-01-2018
,,,"$143,059.20",,,,
"Casa de Bolsa Ve por Más, S.A. de C.V., Grupo Financiero Ve por Más","Numerales 3.1.1 y 3.1.2, de la Circular 4/2012.",Falta a las reglas para la realización de Operaciones Derivadas.,"Monto $53,832.00 Fecha de imposición23-03-2018",Ninguno,,Esta conducta no se considera graveNo es reincidente.,10-04-2018
,,,"$53,832.00",,,,
"Interacciones Casa de Bolsa, S.A. de C.V., Grupo Financiero Interacciones","Requerimientos 7, 10, 12, 17, 21, 24 y 29 de los 31 previstos en el Anexo de la Circular 4/2012",Falta a las reglas para la realización de Operaciones Derivadas.,"Monto $53,832.00 Fecha de imposición21-02-2018",Ninguno,,Esta conducta no se considera graveNo es reincidente.,21-03-2018
,,,"$53,832.00",,,,
"Monex Casa de Bolsa, S.A. de C.V., Monex Grupo Financiero","Numeral 7.3, inciso i), de la Circular 4/2012.",Falta a las reglas para la realización de Operaciones Derivadas.,"Monto $53,832.00 Fecha de imposición13-03-2018",Ninguno,,Esta conducta no se considera graveNo es reincidente.,10-04-2018
,,,"$53,832.00",,,,
"Casa de Bolsa Base, S.A. de C.V., Grupo Financiero Base","Numeral CB.2, tercer párrafo, inciso d), de la Circular 115/2002",Falta a las disposiciones de operaciones de Reporto para dotar de liquidez a los sistemas de pagos.,Descripción  Amonestación  Fecha de imposición09-07-2019,Ninguno,31-07-2019,Esta conducta no se considera graveNo es reincidente.,
"Casa de Bolsa Ve por Más, S.A. de C.V., Grupo Financiero Ve por Más","Numeral CB.3.2.3, primer párrafo, de la Circular 115/2002.",Falta a la regulación para la posición de riesgo cambiario.,Descripción  Amonestación  Fecha de imposición07-03-2019,Ninguno,01-04-2019,Esta conducta no se considera graveNo es reincidente.,
"Masari Casa de Bolsa, S.A.","Numeral 9.4, inciso a), de las Reglas a las que deberán sujetarse las instituciones de crédito; casas de bolsa; sociedades de inversión; sociedades de inversión especializadas de fondos para el retiro, y la Financiera Rural en sus Operaciones de Reporto",Falta a las reglas para las operaciones de reporto.,Descripción  Amonestación  Fecha de imposición20-05-2019,Ninguno,11-06-2019,Esta conducta no se considera graveNo es reincidente.,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Casa de Cambio Tiber, S.A. de C.V.","Numeral 3.1, 3.4 y 9 de las Reglas a las que deberán sujetarse las casas de cambio en sus operaciones",Falta a las Reglas a las que deberán sujetarse las Casas de Cambio en sus operaciones.,"Monto $129,750.40 Fecha de imposición30-11-2016",Ninguno,,"Esta conducta no se considera graveEs reincidente, toda vez que se le impuso una sanción por cometer la misma conducta infractora dentro del plazo de dos años inmediatos anteriores.",22-12-2016
,,,"$129,750.40",,,,
"Divisas San Jorge Casa de Cambio, S.A. de C.V.",Numerales 5 y 9 de las Reglas a las que deberán sujetarse las Casas de Cambio en sus operaciones,Falta a las Reglas a las que deberán sujetarse las Casas de Cambio en sus operaciones.,Descripción  Amonestación  Fecha de imposición08-12-2016,Ninguno,02-01-2017,Esta conducta no se considera graveNo es reincidente.,
"Sterling Casa de Cambio, S.A. de C.V.","Numeral 5, primer párrafo, de las Reglas a las que deberán sujetarse las Casas de Cambio en sus operaciones",Falta a las Reglas a las que deberán sujetarse las Casas de Cambio en sus operaciones.,Descripción  Amonestación  Fecha de imposición11-09-2017,Ninguno,09-10-2017,Esta conducta no se considera graveNo es reincidente.,
,,,,,,,
,,,,,,,
,,,,,,,
"B y B Casa de Cambio, S.A. de C.V.",Numeral 6 de las Reglas a las que deberán sujetarse las Casas de Cambio en sus operaciones,Falta a las Reglas a las que deberán sujetarse las Casas de Cambio en sus operaciones.,Descripción  Amonestación  Fecha de imposición04-03-2019,Ninguno,27-03-2019,Esta conducta no se considera graveNo es reincidente.,
,,,,,,,
,,,,,,,
,,,,,,,
"Banco del Ahorro Nacional y Servicios Financieros, Sociedad Nacional de Crédito, Institución de Banca de Desarrollo","Artículo 131, fracción IV, de la Circular 3/2012",Falta a las disposiciones de operaciones de Reporto para dotar de liquidez a los sistemas de pagos.,Descripción  Amonestación  Fecha de imposición07-09-2016,Ninguno,30-09-2016,Esta conducta no se considera graveNo es reincidente.,
,,,,,,,
"Banco Nacional de Obras y Servicios Públicos, S.N.C.","Artículos 91, segundo párrafo y 93, segundo párrafo de la Circular 3/2012.",Falta a la regulación para las operaciones con valores y valores gubernamentales.,Descripción  Amonestación  Fecha de imposición21-12-2016,Ninguno,12-01-2017,Esta conducta no se considera graveNo es reincidente.,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Banca Afirme, S.A., Institución de Banca Múltiple, Afirme Grupo Financiero","Artículo 131, fracción IV, de la Circular 3/2012",Falta a las disposiciones de operaciones de Reporto para dotar de liquidez a los sistemas de pagos.,Descripción  Amonestación  Fecha de imposición28-11-2016,Ninguno,21-12-2016,Esta conducta no se considera graveNo es reincidente.,
"Banco Actinver, S.A., Institución de Banca Múltiple, Grupo Financiero Actinver","Artículo 131, fracción IV, de la Circular 3/2012",Falta a las disposiciones de operaciones de Reporto para dotar de liquidez a los sistemas de pagos.,Descripción  Amonestación  Fecha de imposición15-09-2016,Ninguno,10-10-2016,Esta conducta no se considera graveNo es reincidente.,
"Banco Mercantil del Norte, S.A., Institución de Banca Múltiple, Grupo Financiero Banorte","Artículo 14, cuarto párrafo, de la Circular 3/2012",Falta a la regulación para los niveles de operación de las cuentas de Depósito a la vista,Descripción  Amonestación  Fecha de imposición22-04-2016,Ninguno,16-05-2016,Esta conducta no se considera graveNo es reincidente.,
"Banco Nacional de México, S.A., Integrante del Grupo Financiero Banamex","Artículo 14, segundo párrafo, fracción II, de la Circular 3/2012",Falta a la regulación para los niveles de operación de las cuentas de Depósito a la vista,Descripción  Amonestación  Fecha de imposición07-06-2016,Ninguno,29-06-2016,Esta conducta no se considera graveNo es reincidente.,
"Banco Ve por Más, S.A., Institución de Banca Múltiple, Grupo Financiero Ve por Más","Artículo 37, primer párrafo, de la Circular 3/2012.",Falta a las disposiciones generales aplicables a las operaciones pasivas,Descripción  Amonestación  Fecha de imposición04-10-2016,Ninguno,26-10-2016,Esta conducta no se considera graveNo es reincidente.,
"BBVA Bancomer, S.A., Institución de Banca Múltiple, Grupo Financiero BBVA Bancomer","Artículo 14, cuarto párrafo, de la Circular 3/2012",Falta a la regulación para los niveles de operación de las cuentas de Depósito a la vista,Descripción  Amonestación  Fecha de imposición10-06-2016,Ninguno,04-07-2016,Esta conducta no se considera graveNo es reincidente.,
"Consubanco, S.A., Institución de Banca Múltiple","Artículo 103, segundo párrafo, de la Circular 3/2012.",Falta a la regulación para las operaciones con divisas y metales finos amonedados.,Descripción  Amonestación  Fecha de imposición05-09-2016,Ninguno,28-09-2016,Esta conducta no se considera graveNo es reincidente.,
"HSBC México, S.A., Institución de Banca Múltiple, Grupo Financiero HSBC",Numeral 4.2 de las Reglas de Reporto.,Falta a las reglas para las operaciones de reporto.,Descripción  Amonestación  Fecha de imposición06-09-2016,Ninguno,29-09-2016,Esta conducta no se considera graveNo es reincidente.,
"Banco Monex, S.A., Institución de Banca Múltiple, Monex Grupo Financiero","Artículo 229, fracción I, inciso b), de la Circular 3/2012",Falta a los Regímenes de admisión de pasivos y de inversión para las operaciones pasivas en Moneda Extranjera.,"Monto $636,576.80 Fecha de imposición20-10-2016",Ninguno,,"Esta conducta se considera graveEs reincidente, toda vez que se le impuso una sanción por cometer la misma conducta infractora dentro del plazo de dos años inmediatos anteriores.",17-11-2016
,,,"$636,576.80",,,,
"Banco Regional de Monterrey, S.A., Institución de Banca Múltiple, Banregio Grupo Financiero","Artículos 37, primer párrafo y 48, segundo párrafo, inciso a), de la Circular 3/2012",Falta a las disposiciones generales aplicables a las operaciones pasivas,"Monto $65,552.00 Fecha de imposición03-10-2016",Ninguno,,Esta conducta no se considera graveNo es reincidente.,25-10-2016
"Banco Regional de Monterrey, S.A., Institución de Banca Múltiple, Banregio Grupo Financiero","Numeral 3.2, incisos ii), iv), v), vi) y vii), de la Circular 1/2005.",Falta a las Reglas para las operaciones de fideicomiso.,"Monto $130,149.15 Fecha de imposición12-09-2016",Recurso de reconsideración,,Esta conducta no se considera graveNo es reincidente.,09-12-2016
,,,"$195,701.15",,,,
"Banco Santander (México), S.A., Institución de Banca Múltiple, Grupo Financiero Santander","Artículo 37, primer párrafo de la Circular 3/2012.",Falta a las disposiciones generales aplicables a las operaciones pasivas,"Monto $127,861.60 Fecha de imposición26-09-2016",Ninguno,,Esta conducta no se considera graveNo es reincidente.,10-11-2016
,,,"$127,861.60",,,,
"Consubanco, S.A., Institución de Banca Múltiple","Regla Segunda, primer párrafo, en relación con la Segunda Transitoria, de la Circular 15/2012.",Falta a las Reglas sobre operaciones celebradas por instituciones de banca múltiple con Personas con Vínculos Relevantes,"Monto $138,779.20 Fecha de imposición19-04-2016",Ninguno,,Esta conducta no se considera graveNo es reincidente.,17-05-2016
,,,"$138,779.20",,,,
"Banca Mifel, S.A., Institución de Banca Múltiple, Grupo Financiero Mifel","Numerales 3.1.1 y 3.1.2, de la Circular 4/2012.",Falta a las reglas para la realización de Operaciones Derivadas.,Descripción  Amonestación  Fecha de imposición11-05-2017,Ninguno,01-06-2017,Esta conducta no se considera graveNo es reincidente.,
"Banco Azteca, S.A., Institución de Banca Múltiple","Numeral 3.1.3, primer párrafo, de la Circular 4/2012.",Falta a las reglas para la realización de Operaciones Derivadas.,Descripción  Amonestación  Fecha de imposición07-02-2017,Ninguno,01-03-2017,Esta conducta no se considera graveNo es reincidente.,
"Banco Azteca, S.A., Institución de Banca Múltiple","Artículo 14, segundo párrafo, fracción I, de la Circular 3/2012.",Falta a la regulación para los niveles de operación de las cuentas de Depósito a la vista,Descripción  Amonestación  Fecha de imposición09-05-2017,Ninguno,30-05-2017,Esta conducta no se considera graveNo es reincidente.,
"Banco Base, S.A., Institución de Banca Múltiple, Grupo Financiero Base","Artículos 91, segundo párrafo, y 93, segundo párrafo, de la Circular 3/2012",Falta a la regulación para las operaciones con valores y valores gubernamentales.,Descripción  Amonestación  Fecha de imposición20-04-2017,Ninguno,15-05-2017,Esta conducta no se considera graveNo es reincidente.,
"Banco Base, S.A., Institución de Banca Múltiple, Grupo Financiero Base","Artículo 220, primer párrafo, de la Circular 3/2012",Falta a la regulación para la posición de riesgo cambiario.,Descripción  Amonestación  Fecha de imposición11-05-2017,Ninguno,01-06-2017,Esta conducta no se considera graveNo es reincidente.,
"Banco Inbursa, S.A., Institución de Banca Múltiple, Grupo Financiero Inbursa","Artículo 14, segundo párrafo, fracción II, de la Circular 3/2012",Falta a la regulación para los niveles de operación de las cuentas de Depósito a la vista,Descripción  Amonestación  Fecha de imposición09-05-2017,Ninguno,30-05-2017,Esta conducta no se considera graveNo es reincidente.,
"Banco Invex, S.A., Institución de Banca Múltiple, Invex Grupo Financiero","Numeral 4.2 de las Reglas a las que deberán sujetarse las Instituciones de Crédito; Casas de Bolsa; Sociedades de Inversión; Sociedades de Inversión Especializadas de Fondos para el Retiro, y la Financiera Rural, en sus operaciones de Reporto.",Falta a las reglas para las operaciones de reporto.,Descripción  Amonestación  Fecha de imposición27-12-2016,Ninguno,18-01-2017,Esta conducta no se considera graveNo es reincidente.,
"Banco Nacional de México, S.A., Integrante del Grupo Financiero Banamex","Artículos 91, segundo párrafo, y 93, segundo párrafo, de la Circular 3/2012",Falta a la regulación para las operaciones con valores y valores gubernamentales.,Descripción  Amonestación  Fecha de imposición08-02-2017,Ninguno,02-03-2017,Esta conducta no se considera graveNo es reincidente.,
"BanCoppel, S.A., Institución de Banca Múltiple","Artículo 103, segundo párrafo, de la Circular 3/2012.",Falta a la regulación para las operaciones con divisas y metales preciosos.,Descripción  Amonestación  Fecha de imposición08-02-2017,Ninguno,02-03-2017,Esta conducta no se considera graveNo es reincidente.,
"Bankaool, S.A., Institución de Banca Múltiple","Numeral 229, fracción I, inciso b), de la Circular 3/2012.",Falta a los Regímenes de admisión de pasivos y de inversión para las operaciones pasivas en Moneda Extranjera.,Descripción  Amonestación  Fecha de imposición21-07-2017,Ninguno,14-08-2017,Esta conducta no se considera graveNo es reincidente.,
"BBVA Bancomer, S.A., Institución de Banca Múltiple, Grupo Financiero BBVA Bancomer","Artículo 17, fracción III, de la Circular 3/2012",Falta a la regulación para las Transferencias electrónicas de fondos.,Descripción  Amonestación  Fecha de imposición20-07-2017,Ninguno,11-08-2017,Esta conducta no se considera graveNo es reincidente.,
"BBVA Bancomer, S.A., Institución de Banca Múltiple, Grupo Financiero BBVA Bancomer","Artículo 102, segundo párrafo, de la Circular 3/2012.",Falta a la regulación para las operaciones con divisas y metales preciosos.,Descripción  Amonestación  Fecha de imposición12-09-2017,Ninguno,10-10-2017,Esta conducta no se considera graveNo es reincidente.,
"CIBanco, S.A., Institución de Banca Múltiple",Numeral 9.1 de las Reglas para las operaciones de Reporto,Falta a las reglas para las operaciones de reporto.,Descripción  Amonestación  Fecha de imposición01-06-2017,Ninguno,23-06-2017,Esta conducta no se considera graveNo es reincidente.,
"CIBanco, S.A., Institución de Banca Múltiple","Numeral 5.5, de la Circular 1/2005.",Falta a las Reglas para las operaciones de fideicomiso.,Descripción  Amonestación  Fecha de imposición07-09-2017,Ninguno,05-10-2017,Esta conducta no se considera graveNo es reincidente.,
"UBS Bank México, S.A., Institución de Banca Múltiple, UBS Grupo Financiero","Artículo 91, segundo párrafo, de la Circular 3/2012",Falta a la regulación para las operaciones con valores y valores gubernamentales.,Descripción  Amonestación  Fecha de imposición20-07-2017,Ninguno,11-08-2017,Esta conducta no se considera graveNo es reincidente.,
"Banco Autofin México, S.A., Institución de Banca Múltiple","Numeral 3.2, inciso iv) y 5.2 en relación con el 2.7 de la Circular 1/2005.",Falta a las Reglas para las operaciones de fideicomiso.,"Monto $32,242.40 Fecha de imposición07-02-2017",Ninguno,,Esta conducta no se considera graveNo es reincidente.,01-03-2017
,,,"$32,242.40",,,,
"Banco Interacciones, S.A., Institución de Banca Múltiple, Grupo Financiero Interacciones","Artículo 103, segundo párrafo, de la Circular 3/2012.",Falta a la regulación para las operaciones con divisas y metales preciosos.,"Monto $53,832.00 Fecha de imposición30-12-2016",Ninguno,,Esta conducta no se considera graveNo es reincidente.,13-01-2017
"Banco Interacciones, S.A., Institución de Banca Múltiple, Grupo Financiero Interacciones","Numeral 5, cuarto párrafo, de la Circular 4/2012.",Falta a las reglas para la realización de Operaciones Derivadas.,"Monto $85,086.40 Fecha de imposición09-03-2017",Ninguno,,Esta conducta no se considera graveNo es reincidente.,30-03-2017
,,,"$138,918.40",,,,
"Banco Monex, S.A., Institución de Banca Múltiple, Monex Grupo Financiero","Artículo 229, fracción I, inciso b), de la Circular 3/2012",Falta a los Regímenes de admisión de pasivos y de inversión para las operaciones pasivas en Moneda Extranjera.,"Monto $269,160.00 Fecha de imposición28-03-2017",Ninguno,,Esta conducta no se considera graveNo es reincidente.,21-04-2017
,,,"$269,160.00",,,,
"Banco Multiva, S.A., Institución de Banca Múltiple, Grupo Financiero Multiva","Artículo 229, fracción I, inciso b), de la Circular 3/2012",Falta a los Regímenes de admisión de pasivos y de inversión para las operaciones pasivas en Moneda Extranjera.,"Monto $269,160.00 Fecha de imposición03-04-2017",Ninguno,,Esta conducta no se considera graveNo es reincidente.,26-04-2017
"Banco Multiva, S.A., Institución de Banca Múltiple, Grupo Financiero Multiva","Artículo 229, fracción I, inciso b), de la Circular 3/2012",Falta a los Regímenes de admisión de pasivos y de inversión para las operaciones pasivas en Moneda Extranjera.,"Monto $280,400.00 Fecha de imposición03-04-2017",Ninguno,,Esta conducta no se considera graveNo es reincidente.,26-04-2017
,,,"$549,560.00",,,,
"Banco Santander (México), S.A., Institución de Banca Múltiple, Grupo Financiero Santander","Artículo 103, segundo párrafo, de la Circular 3/2012",Falta a la regulación para las operaciones con divisas y metales preciosos.,"Monto $32,950.40 Fecha de imposición13-12-2016",Ninguno,,Esta conducta no se considera graveNo es reincidente.,04-01-2017
"Banco Santander (México), S.A., Institución de Banca Múltiple, Grupo Financiero Santander","Artículo 103, segundo párrafo, de la Circular 3/2012",Falta a la regulación para las operaciones con divisas y metales preciosos.,"Monto $62,316.80 Fecha de imposición21-12-2016",Ninguno,,Esta conducta no se considera graveNo es reincidente.,04-01-2017
,,,"$95,267.20",,,,
"Bankaool, S.A., Institución de Banca Múltiple","Numeral 229, fracción I, inciso b), y fracción II, de la Circular 3/2012.",Falta a los Regímenes de admisión de pasivos y de inversión para las operaciones pasivas en Moneda Extranjera.,"Monto $269,160.00 Fecha de imposición21-07-2017",Ninguno,,Esta conducta no se considera graveNo es reincidente.,14-08-2017
,,,"$269,160.00",,,,
"BBVA Bancomer, S.A., Institución de Banca Múltiple, Grupo Financiero BBVA Bancomer","Artículo 229, fracción I, inciso b), de la Circular 3/2012.",Falta a los Regímenes de admisión de pasivos y de inversión para las operaciones pasivas en Moneda Extranjera.,"Monto $444,314.40 Fecha de imposición09-05-2017",Ninguno,,Esta conducta no se considera graveNo es reincidente.,29-05-2017
,,,"$444,314.40",,,,
"CIBanco, S.A., Institución de Banca Múltiple","Numerales 3.2, inciso vii), 5.2, 5.4, último párrafo, en relación con el segundo párrafo, incisos c) y d), y 5.5, de la Circular 1/2005.",Falta a las Reglas para las operaciones de fideicomiso.,"Monto $53,832.00 Fecha de imposición07-09-2017",Ninguno,,Esta conducta no se considera graveNo es reincidente.,05-10-2017
,,,"$53,832.00",,,,
"Scotiabank Inverlat, S.A., Institución de Banca Múltiple, Grupo Financiero Scotiabank Inverlat","Artículos 91, segundo párrafo, y 93, segundo párrafo, de la Circular 3/2012.",Falta a la regulación para las operaciones con valores y valores gubernamentales.,"Monto $53,832.00 Fecha de imposición29-03-2017",Ninguno,,Esta conducta no se considera graveNo es reincidente.,06-04-2017
"Scotiabank Inverlat, S.A., Institución de Banca Múltiple, Grupo Financiero Scotiabank Inverlat","Artículo 229, fracción I, inciso b), de la Circular 3/2012.",Falta a los Regímenes de admisión de pasivos y de inversión para las operaciones pasivas en Moneda Extranjera.,"Monto $269,160.00 Fecha de imposición27-03-2017",Ninguno,,Esta conducta no se considera graveNo es reincidente.,12-04-2017
,,,"$322,992.00",,,,
"UBS Bank México, S.A., Institución de Banca Múltiple, UBS Grupo Financiero","Artículo 229, fracción I, inciso b), de la Circular 3/2012",Falta a los Regímenes de admisión de pasivos y de inversión para las operaciones pasivas en Moneda Extranjera.,"Monto $336,450.00 Fecha de imposición02-06-2017",Ninguno,,Esta conducta no se considera graveNo es reincidente.,29-06-2017
,,,"$336,450.00",,,,
"Banco Forjadores, S.A, Institución de Banca Múltiple","Artículo 103, segundo párrafo, de la Circular 3/2012",Falta a la regulación para las operaciones con divisas y metales preciosos.,Descripción  Amonestación  Fecha de imposición27-03-2018,Ninguno,20-04-2018,Esta conducta no se considera graveNo es reincidente.,
"Banco Santander (México), S.A., Institución de Banca Múltiple, Grupo Financiero Santander México","Artículo 195 Bis, penúltimo párrafo, de la Circular 3/2012.",Falta a los procedimientos para que las instituciones de Banca Múltiple soliciten y administren otros créditos del Banco de México,Descripción  Amonestación  Fecha de imposición05-04-2018,Ninguno,27-04-2018,Esta conducta no se considera graveNo es reincidente.,
"CIBanco, S.A., Institución de Banca Múltiple","Artículo 103, segundo párrafo, de la Circular 3/2012",Falta a la regulación para las operaciones con divisas y metales preciosos.,Descripción  Amonestación  Fecha de imposición27-03-2018,Ninguno,20-04-2018,Esta conducta no se considera graveNo es reincidente.,
"Investa Bank, S.A., Institución de Banca Múltiple","Numeral 5, cuarto párrafo, de la Circular 4/2012.",Falta a las reglas para la realización de Operaciones Derivadas.,Descripción  Amonestación  Fecha de imposición22-03-2018,Ninguno,17-04-2018,Esta conducta no se considera graveNo es reincidente.,
"Banca Mifel, S.A., Institución de Banca Múltiple, Grupo Financiero Mifel","Numeral 11, inciso b), de la Circular 4/2012",Falta a las reglas para la realización de Operaciones Derivadas.,"Monto $60,431.20 Fecha de imposición04-09-2018",Ninguno,,Esta conducta se considera graveNo es reincidente.,25-09-2018
,,,"$60,431.20",,,,
"Banco Base, S.A., Institución de Banca Múltiple, Grupo Financiero Base","Artículo 131, fracción IV, de la Circular 3/2012",Falta a las disposiciones de operaciones de Reporto para dotar de liquidez a los sistemas de pagos.,"Monto $59,240.80 Fecha de imposición09-04-2018",Ninguno,,Esta conducta no se considera graveNo es reincidente.,20-04-2018
,,,"$59,240.80",,,,
"Banco Interacciones, S.A., Institución de Banca Múltiple, Grupo Financiero Interacciones","Numerales 3.2, fracción vii), 5.5 y 5.5, en relación con su similar 6.3, de la Circular 1/2005.",Falta a las Reglas para las operaciones de fideicomiso.,"Monto $76,502.78 Fecha de imposición28-03-2017",Recurso de reconsideración,,"Presenta Recurso de reconsideracion cuya resolucion fue ""Se confirma la resolucion impugnada"", expediente 01/2017.  Esta conducta no se considera graveNo es reincidente.",01-06-2018
,,,"$76,502.78",,,,
"Bansi, S.A., Institución de Banca Múltiple","Numerales 3.2, inciso ii), y 5.2, de la Circular 1/2005.",Falta a las Reglas para las operaciones de fideicomiso.,"Monto $14,483.20 Fecha de imposición12-03-2018",Ninguno,,Esta conducta no se considera graveNo es reincidente.,27-03-2018
,,,"$14,483.20",,,,
"Barclays Bank México, S.A., Institución de Banca Múltiple, Grupo Financiero Barclays México","Artículos 91, segundo párrafo, y 93, segundo párrafo, de la Circular 3/2012.",Falta a la regulación para las operaciones con valores y valores gubernamentales.,"Monto $59,603.20 Fecha de imposición02-08-2018",Ninguno,,Esta conducta no se considera graveNo es reincidente.,20-08-2018
"Barclays Bank México, S.A., Institución de Banca Múltiple, Grupo Financiero Barclays México","Artículos 91, segundo párrafo, y 93, segundo párrafo, de la Circular 3/2012.",Falta a la regulación para las operaciones con valores y valores gubernamentales.,"Monto $62,292.80 Fecha de imposición02-08-2018",Ninguno,,Esta conducta no se considera graveNo es reincidente.,20-08-2018
,,,"$121,896.00",,,,
"HSBC México, S.A., Institución de Banca Múltiple, Grupo Financiero HSBC","Artículos 91, segundo párrafo, y 93, segundo párrafo, de la Circular 3/2012.",Falta a la regulación para las operaciones con valores y valores gubernamentales.,"Monto $80,039.20 Fecha de imposición21-05-2018",Ninguno,,Esta conducta no se considera graveNo es reincidente.,19-06-2018
"HSBC México, S.A., Institución de Banca Múltiple, Grupo Financiero HSBC","Artículos 91, segundo párrafo, y 93, segundo párrafo, de la Circular 3/2012.",Falta a la regulación para las operaciones con valores y valores gubernamentales.,"Monto $92,708.80 Fecha de imposición21-05-2018",Ninguno,,Esta conducta no se considera graveNo es reincidente.,19-06-2018
,,,"$172,748.00",,,,
"Banco Compartamos, S.A., Institución de Banca Múltiple","Artículo 195 Bis, penúltimo párrafo, de la Circular 3/2012.",Falta a los procedimientos para que las instituciones de Banca Múltiple soliciten y administren otros créditos del Banco de México,Descripción  Amonestación  Fecha de imposición22-07-2019,Ninguno,13-08-2019,Esta conducta no se considera graveNo es reincidente.,
"Banco Mercantil del Norte, S.A., Institución de Banca Múltiple, Grupo Financiero Banorte","Artículo 229, fracción I, inciso b), de la Circular 3/2012.",Falta a los Regímenes de admisión de pasivos y de inversión para las operaciones pasivas en Moneda Extranjera.,Descripción  Amonestación  Fecha de imposición21-05-2019,Ninguno,12-06-2019,Esta conducta no se considera graveNo es reincidente.,
"Banco Ve por Más, S.A., Institución de Banca Múltiple, Grupo Financiero Ve por Más","Artículo 229, fracción I, inciso b), de la Circular 3/2012",Falta a los Regímenes de admisión de pasivos y de inversión para las operaciones pasivas en Moneda Extranjera.,Descripción  Amonestación  Fecha de imposición21-06-2019,Ninguno,15-07-2019,Esta conducta no se considera graveNo es reincidente.,
"MUFG Bank México, S.A., Institución de Banca Múltiple Filial","Artículo 131, fracción IV, de la Circular 3/2012",Falta a las disposiciones de operaciones de Reporto para dotar de liquidez a los sistemas de pagos.,Descripción  Amonestación  Fecha de imposición05-03-2019,Ninguno,28-03-2019,Esta conducta no se considera graveNo es reincidente.,
"Banca Afirme, S.A., Institución de Banca Múltiple, Afirme Grupo Financiero","Artículo 103, segundo párrafo, de la Circular 3/2012.",Falta a la regulación para las operaciones con divisas y metales preciosos.,"Monto $53,832.00 Fecha de imposición27-05-2019",Ninguno,,Esta conducta no se considera graveNo es reincidente.,20-06-2019
,,,"$53,832.00",,,,
"Banco Azteca, S.A., Institución de Banca Múltiple","Artículo 103, segundo párrafo, de la Circular 3/2012.",Falta a la regulación para las operaciones con divisas y metales preciosos.,"Monto $65,988.00 Fecha de imposición09-04-2019",Ninguno,,Esta conducta no se considera graveNo es reincidente.,29-04-2019
