Articulo,Precio,URL Link
"CONECTOR HEMBRA/MACHO MOVIBLE P/MANGUERA NYLON 6 10mm 3/8"" EDOMEX",$12.77,
CONECTOR HEMBRA/MACHO SIST.CLICK P/MANGUERA TRUPER CLIK-SET,$49.00,
,$176.15,
CONTACTO SENCILLO 1MOD 2P NEGRO COLGANTE ROYER 504,$354.37,
"CUCHARA PARA JARDIN 6"" CON MANGO DE MADERA GTS-SH TRUPER",$24.65,
DISCO DIAMANTE RIN CONTINUO P/LOSETA 4 AUSTROMEX 1501,$32.00,
DISCO DIAMANTE RIN SEGMENTADO P/CONCRETO 7 AUSTROMEX 1507,$30.00,
FLEXICO P/LAVABO 40cm 13-13mm 1/2x1/2 MAXIFLEX 25ME RUGO,$49.00,
FLEXOMETRO PRETUL PRO-3MEB 3 MTS C/BLISTER,$47.00,
FLEXOMETRO PRETUL PRO-3MEC 3 MTS EN COLORES,$29.00,
FLEXOMETRO PRETUL PRO-5MEB 5MTS C/BLISTER,$29.00,
FLEXOMETRO PRETUL PRO-5MEC 5 MTS EN COLORES,$15.56,
GUANTES DE LATEX PARA LIMPIEZA PUÑO LARGO TALLA GRANDE GU-313 TRUPER,$128.28,
GUANTES DE LATEX PARA LIMPIEZA PUÑO LARGO TALLA MEDIANA GU-312 TRUPER,$89.00,
GUIA DE ACERO P/CABLE 20.00mt,$291.22,
,$371.78,
INTERRUPTOR DE SEGURIDAD 2x30amp 2000 ROYER,$371.78,
JUEGO DE LLAVES TORX 8 PIEZAS TIPO NAVAJA CUERPO DE LAMINA TORX-8 TRUPER,$371.78,
KIT DE ACCESORIOS P/TANQUE BAJO SIST. STD PVC FLUIDMASTER FM200AK,$371.78,
LIJA DE AGUA G1000 FAJILLA 25pz A-99 FANDELI 05525,$30.00,
LIJA DE AGUA G1200 FAJILLA 25pz A-99 FANDELI 00048,$505.29,
LIJA DE AGUA G1500 FAJILLA 25pz A-99 FANDELI 00049,$125.00,
LIJA DE AGUA G2000 FAJILLA 25pz A-99 FANDELI 10965,$89.00,
"LLAVE DE GAS 10MM 7/8"" LL-GA-P PRETUL PAVONADA",$309.82,
LLAVE PARA EMPOTRAR Jgo SOLDABLE P/REG S/MAN CROMO URREA 652,$596.43,
"LLAVE PERICO PRETUL PET-10PB CROMADO 10"" C/BLISTER","$1,168.19",
"LLAVE PERICO PRETUL PET-8PB CROMADO 8"" C/BLISTER","$1,692.53",
MANERAL JUEGO JGO QUEEN GRANDE URREA QG,$16.00,
,$72.00,
"MANGUERA TRAMADA VERDE P/AGUA 13mm 1/2"" X100m STV.1/2.100",$40.09,
"MANGUERA TRAMADA VERDE P/AGUA 16mm 5/8""x100m TV.5/8.100",$65.01,
"MANGUERA TRAMADA VERDE P/AGUA 19mm 3/4""x100m TV.3/4.100",$89.73,
"NAVAJA PRETUL CUT-6PB CUTTER PLASTICO 6""",$142.29,
PEGAMENTO BLANCO BOTELLA 1 Kg FURIA,$506.91,
PEGAMENTO DE CONTACTO AMARILLO P/USO GENERAL LATA .135ml FURIA,$21.37,
PEGAMENTO DE CONTACTO AMARILLO P/USO GENERAL LATA .250ml FURIA,$24.51,
PEGAMENTO DE CONTACTO AMARILLO P/USO GENERAL LATA .500ml FURIA,$192.37,
PEGAMENTO DE CONTACTO AMARILLO P/USO GENERAL LATA 1 Lts FURIA,$333.80,
PEGAMENTO DE CONTACTO AMARILLO P/USO GENERAL LATA 4 Lts FURIA,$58.31,
PEGAMENTO INSTANTANEO USO GENERAL APLICADOR 2gr KRAZY KOLA LOKA,$228.64,
PEGAMENTO INSTANTANEO USO GENERAL BOTELLA C/BROCHA 5gr KRAZY KOLA LOKA,$45.19,
,$325.00,
PEGAMENTO PARA PVC RIG TODA PRESION HIDRAULICO LATA 475ml TANGIT,$19.16,
PEGAMENTO PARA PVC RIG TODA PRESION HIDRAULICO LATA 950ml TANGIT,$47.50,
SAPO P/WC PVC ROJO FM501 FLUIDMASTER,$96.45,
SOLDADURA SOLIDA 1/2-1/2 VERDE CARRETE 3mm 450gr OMEGA,$232.86,
SOPORTE P/LAVABO UNIVERSAL ALUMINIO TRES UÑAS,$292.92,
TALACHO TRUPER TP-5MX C/PICO C/MANGO 5 LB,$338.28,
"TUERCA CONICA C/ESPIGA LATON 10mm 3/8"" NACOBRE",$88.32,
VALVULA DE AGUJA 10-10mm 3/8 x3/8 FLARE-FLARE VRJ,$85.13,
VALVULA DE DESCARGA P/TANQUE BAJO PVC FLUIDMASTER FM507A,$80.16,
"VALVULA DE GLOBO ROSCADA 19mm 3/4"" LATON ALTA PRESION HARPER WYMAN",$72.26,
"VALVULA DE LLENADO P/TANQUE ESTACIONARIO 32mm 1 1/4"" HARPER WYMAN IUSA",$96.74,
"VALVULA DE LLENADO PARA TANQUE ESTACIONARIO T.E.2.""A"" INGUSA",$140.71,
,$38.44,
VALVULA DE PASO 10-10mm 3/8x3/8 FLARE-FLARE C/2 TCAS HARPER WYMAN,$38.73,
VALVULA DE PASO 10-13mm 3/8x1/2 FLARE-MNPT C/1 TCA HARPER WYMAN,$12.46,
VALVULA DE PASO 10-13mm 3/8x1/2 FLARE-SOLD C/1 TCA HARPER WYMAN,$120.51,
VALVULA DE PASO 13-13mm 1/2x1/2 SOLD-SOLD S/TCAS HARPER WYMAN,$186.41,
