,Campeón,attack,defense,magic,difficulty,Popularidad by Skins,Rol1,Rol2
116,Talon-la Sombra de la Navaja.,9,3,1,7,8,Assassin,
117,Taric-el Escudo de Valoran.,4,8,5,3,6,Support,Fighter
118,Teemo-el Explorador Veloz.,5,3,7,6,11,Marksman,Assassin
119,Thresh-el Carcelero Implacable.,5,6,6,7,10,Support,Fighter
120,Tristana-la Artillera Yordle.,9,3,5,4,12,Marksman,Assassin
121,Trundle-el Rey de los Troles.,7,6,2,5,7,Fighter,Tank
122,Tryndamere-el Rey Bárbaro.,10,5,2,5,11,Fighter,Assassin
123,TwistedFate-el Maestro de las Cartas.,6,2,6,9,12,Mage,
124,Twitch-la Rata Mutante.,9,2,3,6,11,Marksman,Assassin
125,Udyr-el Cambiapieles.,8,7,4,7,6,Fighter,Tank
126,Urgot-el Temerario.,8,5,3,8,6,Fighter,Tank
127,Varus-la Flecha del Castigo.,7,3,4,2,9,Marksman,Mage
128,Vayne-la Cazadora Nocturna.,10,1,1,8,12,Marksman,Assassin
129,Veigar-el Pequeño Maestro del Mal.,2,2,10,7,12,Mage,
130,Velkoz-el Ojo del Vacío.,2,2,10,8,4,Mage,
131,Vi-la Vigilante de Piltóver.,8,5,3,4,8,Fighter,Assassin
132,Viktor-el Heraldo Mecánico.,2,4,10,9,5,Mage,
133,Vladimir-el Segador Carmesí.,2,6,8,7,10,Mage,
134,Volibear-el Rugir del Trueno.,7,7,4,3,6,Fighter,Tank
135,Warwick-la Furia Desatada de Zaun.,9,5,3,3,12,Fighter,Tank
136,Xayah-la Rebelde.,10,6,1,5,5,Marksman,
137,Xerath-el Mago Ascendente.,1,3,10,8,6,Mage,
138,XinZhao-el Senescal de Demacia.,8,6,3,2,9,Fighter,Assassin
139,Yasuo-el Imperdonable.,8,4,4,10,8,Fighter,Assassin
140,Yorick-Pastor de Almas.,6,6,4,6,5,Fighter,Tank
141,Yuumi-la gatita mágica.,5,1,8,2,3,Support,Mage
142,Zac-el Arma Secreta.,3,7,7,8,4,Tank,Fighter
143,Zed-el Maestro de las Sombras.,9,2,1,7,7,Assassin,
144,Ziggs-el Experto en Hexplosivos .,2,4,9,4,9,Mage,
145,Zilean-el Guardián del Tiempo.,2,5,8,6,7,Support,Mage
146,Zoe-el Aspecto del Crepúsculo.,1,7,8,5,4,Mage,Support
147,Zyra-el Despertar de las Espinas.,4,3,8,7,7,Mage,Support
